"text"
"This afternoon, I¡¦m hosting H.E. Moon Jae-in, President of the Republic of Korea, at the White House for a bilatera¡K https://t.co/FrxE9gWf7O"
"I believe that Palestinians and Israelis equally deserve to live in safety and security and to enjoy equal measures¡K https://t.co/IGMa2y2OCV"
"These hostilities have resulted in the tragic deaths of so many civilians, including children. I send my sincere co¡K https://t.co/ylZBj3whg9"
"Prime Minister Netanyahu informed me that Israel has agreed to a mutual, unconditional ceasefire. The Egyptians hav¡K https://t.co/di52o2yTTq"
"Tune in as I deliver remarks on the Middle East. https://t.co/QPiJ6BxS7h"
"Incidents of hate against Asian Americans have seen a shocking spike over the last year. It¡¦s wrong ¡X and it¡¦s un-A¡K https://t.co/gp29uxPaCG"
"Tune in as I sign the COVID-19 Hate Crimes Act into law. https://t.co/q6XqIrhEPp"
"With the hard work and ingenuity of the American people, there¡¦s not a single thing we cannot accomplish. https://t.co/lG50PGKpqh"
"To everyone struggling with mental health, I want you to know you are not alone. On this Mental Health Action Day,¡K https://t.co/ryP8V7JyAS"
"Hate has no place in America ¡V and I look forward to making that clear this afternoon by signing the COVID-19 Hate Crimes Act into law."
"I was honored to speak at the Coast Guard Academy¡¦s Commencement today. To the class of 2021: congratulations. May¡K https://t.co/j6k1Ds1Yz1"
"Community college should be free.

The American Families Plan will finally make that a reality for millions of Americans."
"Mark my words: The future will be made in America."
"Get vaccinated."
"Tune in as I address the graduating cadets at the United States Coast Guard Academy¡¦s 140th Commencement. https://t.co/3Q7KCLMQ1W"
"When we took office four months ago, the economy was in crisis. We knew there was no time to waste, so we got right¡K https://t.co/yxsNvbW1Zh"
"Get in folks, we¡¦re going to win the competition for the 21st century. https://t.co/B8YWFKlzeo"
"Being at Ford¡¦s Rouge Electric Vehicle Center today brought me home. For more than thirty years, my Dad managed car¡K https://t.co/40lk4JoItb"
"As a former public defender, I¡¦ve seen how timely and affordable access to the legal system can make all the differ¡K https://t.co/tpZFI89i17"
"Here¡¦s the deal: trickle-down economics has never worked.

It¡¦s time to grow the economy from the bottom up and the middle out."
"When I think of the climate crisis, I think of jobs.

If we act to save the planet we can create millions of jobs,¡K https://t.co/oLbKZAS7FP"
"The American Jobs Plan is a blue-collar blueprint to rebuild America. It¡¦s a plan that will leave no one behind. Th¡K https://t.co/xyVW9jzYk1"
"The previous Administration had infrastructure week every week for four years, but did nothing to get the job done.¡K https://t.co/t05VYZNFks"
"Join me as I give remarks on the American Jobs Plan. https://t.co/YOj2fLKgwp"
"I¡¦m on my way to Dearborn to tour the Ford Rouge Electric Vehicle Center. See you soon, Michigan!"
"In March, I signed the American Rescue Plan into law ¡X giving 90% of families with children a tax cut.

We¡¦re makin¡K https://t.co/cnRbbmt67d"
"If you¡¦re a firefighter or a teacher, you¡¦re paying a higher tax rate than most of corporate America. It¡¦s unaccept¡K https://t.co/NlNIFyH6ln"
"With 90% of Americans living within five miles of a vaccination center, it¡¦s never been easier to get your COVID-19¡K https://t.co/OcLaNhSnAT"
"For working families with children, this tax cut sends a clear message: help is here. https://t.co/hO9gCrpvil"
"On this International Day Against Homophobia, Transphobia, and Biphobia, the message from the United States is clea¡K https://t.co/vDLF0AV5dk"
"America will never be fully safe while this pandemic is raging globally. That¡¦s why today, I¡¦m announcing that over¡K https://t.co/V8CcNZXNXv"
"When tomorrow¡¦s vaccination numbers come out, they will show that 60% of American adults have received at least one¡K https://t.co/8itKvDHOiZ"
"Tune in as I give an update on COVID-19 vaccinations. https://t.co/YBSV8JgDHp"
"Over one million Americans have signed up for health insurance during our special open enrollment period. That¡¦s a¡K https://t.co/bbYw7On7D0"
"I refuse to stand by and let America fall behind while other nations race ahead.

It¡¦s time we invest in our future¡K https://t.co/Tzt7ADyGh3"
